X,Y,Date,ConfirmedCovidCases,TotalConfirmedCovidCases,ConfirmedCovidDeaths,TotalCovidDeaths,StatisticsProfileDate,CovidCasesConfirmed,HospitalisedCovidCases,RequiringICUCovidCases,HealthcareWorkersCovidCases,ClustersNotified,HospitalisedAged5,HospitalisedAged5to14,HospitalisedAged15to24,HospitalisedAged25to34,HospitalisedAged35to44,HospitalisedAged45to54,HospitalisedAged55to64,Male,Female,Unknown,Aged1to4,Aged5to14,Aged15to24,Aged25to34,Aged35to44,Aged45to54,Aged55to64,Median_Age,CommunityTransmission,CloseContact,TravelAbroad,FID,HospitalisedAged65to74,HospitalisedAged75to84,HospitalisedAged85up,Aged65to74,Aged75to84,Aged85up
-856335.869598373,7036492.39571864,2020-02-29 00:00:00+00:00,1,1,0.0,0,2020/02/27 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,,,,,,
-856335.869598373,7036492.39571864,2020-03-03 00:00:00+00:00,1,2,0.0,0,2020/03/01 00:00:00+00,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,,,,,,
-856335.869598373,7036492.39571864,2020-03-04 00:00:00+00:00,4,6,0.0,0,2020/03/02 00:00:00+00,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-05 00:00:00+00:00,7,13,0.0,0,2020/03/03 00:00:00+00,2.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,49.0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-06 00:00:00+00:00,5,18,0.0,0,2020/03/04 00:00:00+00,5.0,4.0,0.0,2.0,,0.0,1.0,0.0,0.0,2.0,1.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,41.0,0,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-07 00:00:00+00:00,1,19,0.0,0,2020/03/05 00:00:00+00,8.0,7.0,1.0,2.0,,0.0,2.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,1.0,0.0,38.0,0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-08 00:00:00+00:00,2,21,0.0,0,2020/03/06 00:00:00+00,13.0,9.0,1.0,2.0,,0.0,2.0,0.0,0.0,5.0,2.0,0.0,8.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,3.0,1.0,49.0,0,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-09 00:00:00+00:00,3,24,0.0,0,2020/03/07 00:00:00+00,16.0,11.0,1.0,3.0,,0.0,2.0,0.0,0.0,6.0,2.0,1.0,9.0,7.0,0.0,0.0,3.0,0.0,1.0,7.0,3.0,2.0,38.0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-10 00:00:00+00:00,10,34,0.0,0,2020/03/08 00:00:00+00,18.0,13.0,2.0,3.0,,0.0,2.0,0.0,0.0,6.0,2.0,1.0,11.0,7.0,0.0,0.0,3.0,0.0,1.0,7.0,3.0,2.0,70.0,0,0,0,9,2.0,0.0,0.0,2.0,0.0,0.0
-856335.869598373,7036492.39571864,2020-03-11 00:00:00+00:00,9,43,1.0,1,2020/03/09 00:00:00+00,25.0,18.0,2.0,5.0,,0.0,2.0,0.0,0.0,7.0,4.0,3.0,13.0,12.0,0.0,0.0,3.0,0.0,1.0,8.0,5.0,5.0,61.0,0,0,0,10,2.0,0.0,0.0,3.0,0.0,0.0
