Code,Title,Points1_2019,Points2_2019,Points1_2020,Points2_2020,Points1_2021,Points2_2021
AC120,International Business,234,269,209,280,294   ,294
AC137,Liberal Arts                                       ,252,275,252,270,271   ,270
AD101,First Year Art & Design (Common Entry), , 550,,,554  ,
AD102,Graphic Design and Moving Image Design, , 635,,,538  ,
AD103,Textile & Surface Design and Jewellery & Objects, , 545,,,505  ,
AD202,"Education & Design or Fine Art (Second Level Teaching,portfolio))", , 580,,,591  ,
AD204,Fine Art (portfolio), , 600,,,514  ,
AD211,Fashion Design (portfolio), , 600,,,760  ,679
AD212,Product Design (portfolio), , 600,,,413  ,
AD215,Visual Culture,300,338,320,389,337   ,300
AD217,Illustration (portfolio)                           , , 625,,,738  ,
AD222,Interaction Design (portfolio), , 657,,,444  ,
AL801,Software Design with Virtual Reality and Gaming,304,328,303,367,300   ,
AL802,Software Design with Artificial Intelligence for Cloud Computing,301,306,332,382,313   ,
AL803,Software Design for Mobile Apps and Connected Devi ,309,337,337,360,350   ,
AL805,Network Management and Cloud Infrastructure,329,442,333,360,321   ,
AL810,Quantity Surveying,307,349,326,352,328   ,
AL811,Civil Engineering                                  ,,,320,432,      ,
AL820,Mechanical and Polymer Engineering                 ,300,358,308,379,327   ,
AL830,General Nursing                                    ,410,429,442,463,451  ,444
AL832,Psychiatric Nursing,387,403,384,399,440  ,431
AL835,Pharmacology                                       ,,,,,356   ,
AL836,Nutrition and Health Science                       ,352,383,334,379,346   ,
AL837,Sports Science with Exercise Physiology,351,392,351,384,357   ,
AL838,Biotechnology,302,372,307,356,324   ,
AL839,Microbiology,322,371,325,393,325   ,
AL840,Pharmaceutical Sciences,328,411,347,403,346   ,
AL841,Athletic and Rehabilitation Therapy,423,430,430,465,477   ,476
AL842,Bioveterinary Science,310,366,313,383,338   ,
AL843,Physical Activity and Health Science,310,330,306,326,306   ,
AL849,Culinary Entrepreneurship                          ,,,,,297   ,
AL850,Business,307,356,309,377,309   ,
AL851,Business and Law                                   ,301,341,295,351,302   ,
AL852,Accounting (with optional placement),290,346,309,422,336   ,
AL853,Accounting and Law,305,320,,,,
AL854,Sport Management (with international placement),,,299,338,300   ,299
AL855,Hospitality Management (with international placeme ,312,357,308,347,309   ,
AL857,Digital Marketing,300,360,304,332,304   ,
AL859,International Business                             ,,,,,308   ,
AL860,Social Care Practice                               ,309,338,300,348,301   ,
AL861,Animation and Illustration (portfolio),615,899,578,878,575  ,
AL863,Graphic and Digital Design (portfolio),703,898,781,824,747  ,
AL864,Early Years Care and Education,307,348,307,346,306   ,
AL870,Applied Psychology,409,445,418,444,484  ,467
AS001,"Education, Home Economics and Biology - with concurrent Teacher Ed",456,497,518,544,542   ,533
AS002,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",400,433,434,466,464   ,452
AS003,Education  Home Economics and Irish - with concurr ,421,457,440,484,463  ,457
AS051,Nutrition  Food and Business Management            ,337,399,317,398,378   ,347
AS054,Home Economics,387,401,398,429,440  ,419
AS110,General Nursing,391,409,419,431,440  ,432
AS130,Intellectual Disability Nursing,317,338,317,339,387   ,358
BN101,Business,252,289,,,,
BN103,Business and Information Technology,254,290,,,,
BN104,Computing (Information Technology),260,293,,,,
BN107,Applied Social Studies in Social Care,300,328,,,,
BN108,Engineering (Common Entry with Award options),271,318,,,,
BN109,Business (Common Entry with Award options),260,279,,,,
BN110,International Business,253,308,,,,
BN111,Sports Management and Coaching,270,298,,,,
BN112,Creative Digital Media,280,329,,,,
BN113,Horticulture,289,321,,,,
BN114,Accounting and Finance,280,332,,,,
BN115,Community and Youth Development,250,298,,,,
BN117,Computer Engineering in Mobile Systems,273,311,,,,
BN118,Early Childhood Care and Education,290,320,,,,
BN119,Digital Marketing,270,308,,,,
BN120,Digital Forensics and Cyber Security,281,326,,,,
BN121,Mechatronic Engineering,276,340,,,,
BN123,"Design,Technology and Innovation",297,318,,,,
BY001,Business                                           ,,,,,210   ,210
CI101,Counselling and Psychotherapy (Limerick),276,328,,,,
CI110,Counselling and Psychotherapy,,,310,392,292   ,
CI111,Counselling and Psychotherapy with Addiction Studi ,,,301,319,290   ,
CI112,Counselling and Youth Studies,,,311,311,325   ,
CK101,Arts - 3 years,300,368,300,388,300   ,
CK102,Social Science,391,431,412,451,434   ,431
CK104,Arts with Music - 3 or 4 years (BMus or Chinese/Eu ,340,409,302,435,339  ,
CK105,Film and Screen Media - 3 years or 4 years (Intern ,397,442,319,418,421   ,420
CK107,Geographical and Archaeological Sciences - 3 or 4  ,326,388,328,388,312   ,
CK108,Arts International - 4 years,429,466,401,466,440  ,440
CK109,English - 3 years or 4 years (International Pathway),347,423,318,441,367   ,357
CK110,World Languages,456,506,410,506,488   ,
