CK606,Architecture - Offered jointly by UCC and CIT,484,476
CK701,Medicine (Undergraduate Entry - HPAT required),731,
CK702,Dentistry,613,613
CK703,Pharmacy,590,589
CK704,Occupational Therapy,566,555
CK705,Speech and Language Therapy,520,
CK706,Public Health Sciences,454,
CK707,Medical and Health Sciences,542,541
CK710,General Nursing,454,
CK712,Children`s and General Nursing (Integrated),533,
CK720,Mental Health Nursing,423,
CK730,Intellectual Disability Nursing,419,411
CK740,Midwifery,484,
CK791,Medicine  - Graduate Entry (GAMSAT required),57,
CM001,Education - Primary Teaching,484,
CM002,Education - Primary Teaching - Gaeltacht Applicants,,
CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,528,
CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge – Gaeltacht,494,
CM010,Education Studies,319,
CM020,Early Childhood Education,327,
CR001,Applied Physics and Instrumentation,250,
CR006,Applied Biosciences,361,
CR007,Analytical and Pharmaceutical Chemistry,240,
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),321,
CR016,Software Development,307,
CR021,Business (Common Entry),255,
CR022,Business Administration,190,
CR031,Social Care Work,346,
CR032,Recreation and Leisure Management,298,
CR035,Community Development,100,
CR041,Tourism Management,216,
CR042,Hospitality Management,208,
CR046,Automotive Technology and Management,216,
CR051,Civil Engineering,248,
CR052,Construction,251,
CR053,Interior Architecture,308,
CR055,Environmental Engineering,258,
CR061,Electronic Engineering,260,
CR062,Electrical Engineering,300,
CR071,Mechanical Engineering,261,
CR075,Biomedical Engineering,306,
CR090,Architectural Technology,266,
CR094,Nautical Science at National Maritime College of Ireland,243,
CR095,Marine Engineering at National Maritime College of Ireland,255,
CR105,Chemical and Biopharmaceutical Engineering,443,
CR106,Software Development,411,
CR108,Mechanical Engineering,434,
CR109,Structural Engineering,394,
CR110,Automotive Business Management and Technology,311,
CR112,Creative Digital Media,361,
CR116,Computer Systems,332,
CR121,Music at CIT Cork School of Music,868,
CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,1088,
CR126,Popular Music: Drums at CIT Cork School of Music,801,
CR127,Popular Music: Electric Guitar at CIT Cork School of Music,838,768
CR128,Popular Music: Keyboards at CIT Cork School of Music,840,
CR129,Popular Music: Voice at CIT Cork School of Music,841,
CR130,Musical Theatre at CIT Cork School of Music,548,518
CR150,Business Information Systems,335,
CR210,"Contemporary Applied Art (Ceramics, Glass, Textiles) at CIT Crawford",#+matric,
CR220,Fine Art at CIT Crawford College of Art and Design,#+matric,
CR225,Photography with New Media,#+matric,
CR300,Physical Sciences (Common Entry),282,
CR305,Physical Sciences (Common Entry),282,
CR310,IT Management,297,
CR320,Biomedical Science - Offered jointly by CIT and UCC,565,
CR325,Pharmaceutical Biotechnology,398,
CR333,Nutrition and Health Science,402,
CR335,Biological Sciences (Common Entry),420,
CR340,Analytical Chemistry with Quality Assurance,251,
CR360,Instrument Engineering,261,
CR365,Environmental Science and Sustainable Technology,253,
CR370,Agri-Biosciences,397,
CR400,Accounting,316,
CR420,Marketing,285,
CR425,International Business with Language,298,
CR430,Sport and Exercise Management,322,
CR440,Montessori Education,288,
CR500,Engineering (Common Entry),411,
CR510,Sustainable Energy Engineering,320,
CR520,Biomedical Engineering,444,
CR560,Architectural Technology,308,
CR565,Interior Architecture,359,
CR570,Quantity Surveying,336,
CR572,Construction Management,269,
CR580,Electrical Engineering,318,
CR590,Electronic Engineering,303,
CR600,Visual Communications,#+matric,
CR620,Early Childhood Education and Care,365,357
CR640,Culinary Arts,244,
CR650,Beverage Industry Management,209,
CR655,Culinary Studies,189,
CR657,Hospitality Studies,180,163
CR660,Tourism Management,252,
CR700,Theatre and Drama Studies at CIT Cork School of Music,740,645
CR805,Marine Electrotechnology at National Maritime College of Ireland,235,
CR888,Information Technology,290,
CT110,Computing in Information Technology,210,
CT116,Information Technology,219,
CT125,Information Technology,220,
CT325,Business,338,
CW006,Business,AQA,AQA
CW018,Business (options),298,248
CW027,Sustainable Farm Management and Agribusiness,266,
CW028,Early Childhood Education and Care,252,
CW037,Business (options),195,
CW038,Art (portfolio),700,
CW047,Visual Communications and Design,214,181
CW057,Art (portfolio),700,
CW058,Tourism and Event Management,298,
CW068,Applied Social Studies in Professional Social Care,245,
CW077,Tourism and Event Management,217,
CW078,Sustainable Farm Management and Agribusiness,269,
CW088,Visual Communications and Design,274,
CW106,Physiology and Health Science,451,
CW107,Analytical Science,277,
CW108,Science (options),261,
CW116,Pharmacy Technician Studies,250,
CW117,Biosciences,205,
CW126,Science - Applied Biology or Applied Chemistry,191,
CW128,Brewing and Distilling,263,
CW138,Sport and Exercise Science,423,
CW148,Strength and Conditioning,379,
CW188,Sport Rehabilitation and Athletic Therapy,451,448
CW206,Computing - Applications or Programming,235,
CW207,Software Development,244,
CW208,Computer Games Development,279,
CW217,Information Technology Management,234,
CW227,Cybercrime and IT Security,233,
CW237,Computing in Interactive Digital Art and Design,212,
CW238,Software Development,297,
CW248,Information Technology Management,285,
CW258,Cybercrime and IT Security,293,
CW268,Computing in Interactive Digital Art and Design,287,
CW407,Architectural Technology,188,
CW417,Construction Management with Building Services,220,
CW427,Civil Engineering,199,
CW438,Construction (options),272,
CW468,Architectural Technology,262,
CW478,Civil Engineering,433,
CW507,Aircraft Systems,293,
CW517,Mechanical Engineering,276,
CW527,Electronic Engineering,227,
CW547,TV and Media Production,301,
CW548,Mechanical Engineering,321,
CW558,Electronic Systems,280,
CW568,Aerospace Engineering,380,
CW578,TV and Media Production,325,
CW706,Legal Studies,163,
CW707,Industrial Design,207,
CW708,Law - LLB,302,
CW717,Professional Social Care Practice,288,
CW728,Product Design Innovation,252,
CW748,Early Childhood Education and Care,270,
CW758,Professional Social Care Practice,336,
CW807,Sport Coaching and Business Management - GAA (portfolio),700,
CW808,Media and Public Relations,251,
CW817,Sport Coaching and Business Management - Rugby (portfolio),700,
CW827,Sport Coaching and Business Management - Soccer (portfolio),700,
CW837,Digital Marketing with Analytics,200,
CW848,Digital Marketing with Analytics,254,
CW858,"Sports Management and Coaching (options, portfolio)",700,
CW906,Business,177,
CW908,Business (options),280,
CW917,Business (options),224,
CW926,Business with Law,210,
CW936,Accounting,231,
CW938,Business with Law,283,
CW948,Accounting,300,
DB500,Computing,218,218
DB501,Computing (Cloud Computing),227,227
DB502,Computing (Data Analytics and Big Data),341,341
DB503,Computing (Software Development),225,225
DB504,Computing (Web and Mobile Technology),,281
DB510,Audio Production and Music Project Management,234,223
DB512,Business Studies,218,203
DB514,Business Studies (Law),252,
DB515,Business Studies (Human Resource Management),244,244
DB516,Financial Services,,
DB517,Marketing (Event Management),238,
DB521,Accounting and Finance,225,195
DB524,Business (Information Systems),342,309
DB526,Business (Cloud Computing),347,
DB527,Applied Social Care,234,260
DB528,Applied Social Care,AQA,AQA
DB531,Marketing,293,
DB534,Sound Engineering and Music Production,AQA,AQA
DB562,Psychology,243,229
DB563,Arts,161,189
DB566,Social Science,220,227
DB567,Film and Creative Media,218,202
DB568,Law,219,252
DB569,Business (Psychology),252,
DB571,Business Studies,173,211
DB572,Business in Accounting,119,117
DB573,Business in Marketing,117,146
DB574,Business in Information Technology,136,388
DB576,Film and Creative Media,AQA,AQA
DC001,Education - Early Childhood Education,440,
DC002,Education - Primary Teaching,488,
DC003,Education - Primary Teaching - Gaeltacht Applicants,445,
DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),411,409
DC009,Arts (Joint Honours) - Humanities,376,
DC010,Post Primary Teacher Education - Religious Education and English,441,429
DC011,Post Primary Teacher Education - Religious Education and History,412,391
DC012,Post Primary Teacher Education - Religious Education and Music,378,
DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,419,
DC014,BA in Jazz and Contemporary Music Performance (audition),419,
DC110,Business Studies International,465,
DC111,Business Studies,488,
DC112,Global Business (France),517,510
DC113,Global Business (Germany),462,
DC114,Global Business (Spain),522,
DC115,Accounting and Finance,510,
DC116,Global Business (USA),579,
DC117,Aviation Management / Aviation Management with Pilot Studies,476,475
DC118,Gnó agus Gaeilge / Business and Irish,359,
DC119,Global Business (Canada),564,
DC120,Enterprise Computing,357,
DC121,Computer Applications,400,
DC123,Data Science,465,
DC126,Actuarial Mathematics,560,
DC127,Common Entry into Actuarial and Financial Mathematics,532,520
DC131,Communication Studies,407,402
DC132,Journalism,429,422
DC133,Multimedia,411,410
DC155,Applied Language and Translation Studies,387,
DC161,Analytical Science,498,489
DC162,Chemical and Pharmaceutical Sciences,521,
DC166,Environmental Science and Technology,433,399
DC168,Genetics and Cell Biology,512,510
DC175,Physics General Entry (options),419,402
DC181,Biotechnology,499,495
DC190,Electronic and Computer Engineering (with choice of four majors),413,
DC193,Mechatronic Engineering,411,
DC195,Mechanical and Manufacturing Engineering,425,
DC197,Biomedical Engineering,423,
DC200,Common Entry into Engineering (Undenominated Entry),422,
DC201,Common Entry into Science (Undenominated Entry),498,488
DC202,Sport Science and Health,500,498
DC203,Science Education,435,
DC204,Athletic Therapy and Training,522,519
DC205,Physical Education with Biology,531,
DC206,Physical Education with Mathematics,499,
DC208,Psychology,532,521
DC209,Health and Society,465,440
DC215,General Nursing,454,433
DC216,Mental Health Nursing,418,403
DC217,Intellectual Disability Nursing,370,
DC218,Children`s and General Nursing (Integrated),500,498
DC230,"Economics, Politics and Law",435,
DC231,International Relations,397,
DC232,Law and Society (BCL),466,
DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,
DC238,Social Sciences and Cultural Innovation,377,
DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,
DC240,"Marketing, Innovation and Technology",476,474
DC291,Arts (Joint Honours) - Media Studies,376,
DC292,Arts (Joint Honours) - Law,403,
DC293,Arts (Joint Honours) - International Languages,377,
DC295,Arts (Joint Honours) - Politics,376,
DK710,Business and Management,120,120
DK711,Business and Technology,191,
DK712,Digital Marketing and Public Relations,100,100
DK721,Computing,106,106
DK722,Augmented and Virtual Reality,144,144
DK730,Building Surveying,165,
DK731,Architectural Technology,332,
DK732,Construction Management,120,
DK740,Engineering - Electrical and Electronic Systems,179,179
DK742,Engineering - Mechanical Engineering,166,166
DK744,Engineering - Civil Engineering,190,157
DK750,Hospitality Management,176,176
DK752,Event Management,175,175
DK753,Culinary Arts,182,182
DK763,"Sport, Exercise and Enterprise",233,
DK767,Community Youth Work (interview),240,240
DK768,Audio and Music Production,261,
DK769,Creative Media,165,165
DK770,Theatre & Film Practice,190,190
DK771,Musical Theatre (audition),,
DK781,Science - Bioscience,358,328
DK783,Science - Pharmaceutical Science,349,317
DK784,Veterinary Nursing,399,
DK810,Accounting and Finance,305,305
DK816,Business Studies,300,300
DK820,Computing in Games Development,311,311
DK821,Computing in Software Development,302,302
DK822,Augmented and Virtual Reality,307,
DK830,Building Surveying,336,
DK831,Architectural Technology,389,
DK832,Construction Management,387,
DK843,Engineering (Common Entry),340,340
DK844,Mechanical Engineering,305,305
DK845,Electrical & Electronic Engineering,304,304
DK846,Civil Engineering,391,361
DK850,International Tourism Management,317,317
DK860,Music (audition),532,532
DK861,Arts,302,302
DK862,Social Care,301,
DK863,Creative Media,308,308
DK864,Film and Television Production,300,300
DK865,Audio and Music Production,301,
DK870,General Nursing,403,401
DK872,Intellectual Disability Nursing,336,
DK874,Mental Health Nursing,356,
DK876,Early Childhood Studies,321,
DK877,Midwifery,440,
DK880,Health and Physical Activity,328,
DK882,Agriculture (Award options),310,
DK883,Science (Award options),358,321
DK884,Sustainable Agriculture,,
DK885,Agri-Food Production,,
DK886,Biopharmaceutical Science,301,
DK887,Environmental Science,330,
DL701,Business - Applied Entrepreneurship,AQA,AQA
DL821,"English, Media and Cultural Studies",212,212
DL822,Arts Management,229,229
DL823,Business Management,235,
DL825,Applied Psychology,379,
DL826,Visual Communication Design,855,
DL827,Art,572,
DL828,"3D Design, Modelmaking and Digital Art",506,
DL829,Design for Stage and Screen (Costume Design),593,
DL830,Design for Stage and Screen (Character Makeup Design),939,
DL831,Design for Stage and Screen (Production Design),781,
DL832,Animation,920,
DL833,Photography,650,
DL834,Film and Television Production,990,
DL836,Creative Computing,219,
DL837,New Media Studies,201,
DL838,Creative Music Production,754,
DL839,Interaction and User Experience Design,683,683
DL840,Digital Marketing,228,228
DL841,English and Equality Studies,276,
DN100,Architecture,510,
DN120,Landscape Architecture,407,
DN130,City Planning and Environmental Policy,407,400
DN150,Engineering (Common Entry),531,521
DN200,Science (options),533,
DN201,Computer Science (Common Entry),510,
DN230,Actuarial and Financial Studies,601,
DN240,Sustainability,440,
DN250,Agricultural Science (options),456,455
DN252,Dairy Business,410,
DN253,Agri - Environmental Sciences,418,
DN261,Food Science,477,
DN262,Human Nutrition,531,
DN271,Forestry,311,
DN272,"Horticulture, Landscape and Sportsturf Management",297,282
DN300,Veterinary Medicine - Undergraduate Entry,589,
DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,
DN310,Veterinary Nursing,478,477
DN400,Medicine - Undergraduate Entry (HPAT required),737,736
DN401,Medicine - Graduate Entry (GAMSAT required),,
DN410,Radiography,534,532
DN411,Radiography - Graduate Entry,,
DN420,Physiotherapy,578,577
DN425,Health and Performance Science,510,509
DN430,Sport and Exercise Management,455,445
DN440,"Biomedical, Health and Life Sciences",590,589
DN450,General Nursing,429,424
DN451,Children`s and General Nursing (Integrated),509,506
DN452,Midwifery,489,476
DN453,Mental Health Nursing,397,393
DN520,Joint Honours (options),310,
DN530,Humanities (options),340,336
DN541,Modern Languages (options),303,
DN600,Law (options),546,544
DN610,Business and Law,545,
DN650,Commerce,521,521
DN660,Commerce International (options),517,511
DN670,Economics and Finance,613,
DN700,Social Sciences (options),421,419
DN710,Economics,498,498
DN720,Psychology,530,522
DN750,Social Policy and Sociology,378,
DS602,Computing and Multimedia (Level 6 - Higher Certificate),,
DS603,Computing and Multimedia (Level 6 - Certificate),,
DS701,Business,,
DS702,Computing and Multimedia (Level 7),,
GA160,Business,163,163
GA170,Business,250,
GA171,Business Information Systems,250,
GA172,Rural Enterprise and Agri-Business,277,
GA174,Marketing and Sales,281,
GA175,Finance,278,
GA176,Business with Entrepreneurship,278,
GA181,Accounting,309,
GA182,Business,287,
GA183,Business Information Systems,296,
GA184,Marketing and Sales,307,
GA185,Finance and Economics,293,
GA186,Business with Entrepreneurship,280,
GA187,Rural Enterprise and Agri-Business,281,
GA272,Heritage Studies,188,188
GA273,Contemporary Art,702,
GA274,Design,251,
GA281,Film and Documentary,304,
GA282,Heritage Studies,220,
GA283,Contemporary Art,679,
GA284,Design,303,
GA285,"Education (Art, Design and Graphics)",,
GA360,Business in Tourism,172,172
GA361,Culinary Arts,193,
GA362,Hotel and Hospitality Operations,240,228
GA364,Heritage Studies,252,252
GA370,Hotel and Catering Management,198,
GA376,Event Management with Public Relations,206,187
GA377,International Tourism Management,172,
GA378,Culinary and Gastronomic Science,219,
GA380,International Hotel Management,242,
GA381,International Tourism Management,278,
GA382,Culinary and Gastronomic Science,206,
GA384,Event Management with Public Relations,212,
GA470,Construction Management,244,243
GA471,Quantity Surveying and Construction Economics,200,
GA472,Architectural Technology,226,
GA473,Civil Engineering,241,
GA480,Construction Management,260,
GA482,Quantity Surveying and Construction Economics,288,
GA483,Architectural Technology,265,
GA484,Civil Engineering,290,
GA570,Software and Electronic Engineering,224,
GA580,Software and Electronic Engineering,300,
GA670,Mechanical Engineering,265,
GA673,Energy Engineering,260,
GA674,Biomedical Engineering,298,
GA675,Agricultural Engineering,298,
GA676,Engineering (Common Entry to Manu/Agri/Biomed/Energy/Mech Eng),290,
GA677,Manufacturing Engineering Design,235,
GA680,Mechanical Engineering,330,
GA681,Energy Engineering,293,
GA682,Biomedical Engineering,313,
GA683,Agricultural Engineering,309,
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,
GA685,Manufacturing Engineering Design,309,
GA770,Applied Freshwater and Marine Biology,280,
GA771,Applied Biology and Biopharmaceutical Science,280,
GA772,Chemical and Pharmaceutical Science,280,
GA773,Physics and Instrumentation,299,
GA774,Science (Undenominated),289,
GA775,Computing in Software Development,260,
GA776,Computing and Digital Media,241,
GA777,Agriculture and Environmental Management,281,
GA780,Applied Freshwater and Marine Biology,327,
GA781,Applied Biology and Biopharmaceutical Science,337,
GA782,Chemical and Pharmaceutical Science,336,
GA783,Physics and Instrumentation,363,
GA784,Science (Undenominated),372,
GA785,Medical Science,473,
GA786,Forensic Science and Analysis,317,
GA787,Computing in Software Development,270,
GA788,Computing and Digital Media,274,
GA789,Agriculture and Environmental Management,287,
GA790,Sport and Exercise Science,356,
GA791,Public Health Nutrition,368,
GA862,History & Geography,178,
GA864,Early Childhood Education and Care,214,204
GA870,Outdoor Education and Leisure,182,171
GA871,Early Childhood Education and Care,190,
GA872,Culture and Environment,196,
GA879,Applied Social Care,244,
GA880,General Nursing,429,422
GA882,Psychiatric Nursing,367,
GA885,Outdoor Education,252,
GA887,History and Geography,244,
GA889,Applied Social Care,266,
GA890,Early Childhood Education and Care,270,
GA891,Geography and Outdoor Education,244,
GA974,"Furniture Design, Making and Technology - Common Entry",214,
GA980,Education (Design Graphics and Construction),377,
GA984,"Furniture Design, Making and Technology - Common Entry",284,
GB001,Business,,
GC200,Business Studies,252,252
GC201,Accounting and Finance,303,303
GC230,Computing Science,335,325
GC250,Communications and Media Production,,
GC300,Business Studies,429,
GC301,Accounting & Finance,253,253
GC302,Business Studies - HRM,,
GC305,International Hospitality Management,253,253
GC306,International Hospitality Management,253,253
GC335,Computing,217,195
GC400,Business Studies,248,248
GC401,Accounting and Finance,240,227
GC402,Business Studies (HRM),264,236
GC403,Law,244,228
GC407,Business Studies (Marketing),280,280
GC410,Marketing,145,
GC411,Business,135,135
GC430,Computing Science,252,220
GC435,Computing,AQA,AQA
GC450,Communications and Media Production,254,254
GC460,Music Production for Games (portfolio),,
GC462,Design Communication (portfolio),,
GC465,Communications,AQA,
GC466,Film and TV Production,AQA,AQA
GC470,Photographic Media,169,169
GC475,Photography,150,150
GC489,Interior Architecture (portfolio),254,
GC490,Interior Design,117,117
GC494,Fashion Design (portfolio),337,217
GC495,Fashion,129,129
GY101,Arts (Joint-Honours),300,
GY104,Arts (Psychology),523,520
GY105,Arts (History),301,
GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),409,
GY109,Arts (Mathematics and Education),403,
GY110,Arts with Children`s Studies,357,
GY111,Arts with Creative Writing,330,
GY112,Arts with Film Studies,321,
GY113,Arts with Human Rights,368,
GY115,Arts with Performing Arts Studies,387,
GY118,"Arts (Drama, Theatre and Performance Studies)",451,
GY119,Arts (Journalism),400,
GY120,"Arts (Child, Youth and Family: Policy and Practice)",350,
GY121,Arts (Children`s Studies),356,
GY122,Na Dána (Cumarsáid agus Gaeilge),361,
GY123,Applied Social Sciences,358,
GY124,Arts (Arts with Data Science),454,
GY125,Arts (Digital Arts and Technology),328,
GY126,Arts (English and Media Studies),391,
GY127,Arts (Film and Digital Media),401,
GY128,Arts (Global Languages),352,
GY129,Arts (International),420,
GY130,Arts (Music),408,
GY131,Arts (History and Globalisation Studies),360,
GY132,"Government (Politics, Economics and Law)",407,
GY133,Education (Computer Science and Mathematical Studies),422,
GY134,Geography and Geosystems,410,
GY201,Commerce,433,
GY202,Commerce (International) with French,484,
GY203,Commerce (International) with German,489,
GY204,Commerce (International) with Spanish,495,
GY206,Business Information Systems (Work Placement & Optional Int`l Study),465,
GY207,Commerce (Accounting) including optional Global Experience year,509,
GY208,Commerce (Gaeilge),473,
GY209,Commerce (Global Experience),530,
GY250,Law and Business,487,
GY251,Law (BCL),499,
GY252,Law (BCL) and Human Rights,520,
GY253,Law and Taxation,509,
GY254,"Law (BCL), Criminology and Criminal Justice",530,
GY261,"Business Studies (International Hotel Management, interview)",497,
GY262,"Commerce (International Hotel Management, interview)",681,
GY301,Science,433,432
GY303,Biomedical Science,556,
GY304,Biotechnology,465,
GY308,Environmental Science,408,
GY309,Financial Mathematics and Economics,487,
GY310,Marine Science,419,
GY313,Environmental Health and Safety,412,
GY314,Earth and Ocean Sciences,403,
GY318,Biopharmaceutical Chemistry,509,
GY319,Mathematical Science,476,
GY320,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",402,
GY321,Genetics and Genomics,508,
GY350,Computer Science and Information Technology,403,
GY401,Engineering (Undenominated),465,
GY402,Civil Engineering,455,
GY405,Mechanical Engineering,454,
GY406,Electronic and Computer Engineering,510,
GY408,Biomedical Engineering,509,
GY410,Project and Construction Management,403,
GY413,Energy Systems Engineering,502,
GY414,Electrical and Electronic Engineering,405,
GY501,"Medicine (five year/six year course, HPAT required)",728,
GY502,Occupational Therapy,555,
GY503,Speech and Language Therapy,543,
GY504,Podiatric Medicine,443,
GY515,General Nursing (Galway and Portiuncula),476,473
GY516,Mental Health Nursing,440,
GY517,Midwifery,495,
ID001,Accounting and Finance,203,
ID002,Business Studies,294,
LC110,"Art and Design (Common Entry, portfolio)",740,
LC114,Fashion and Textiles for Product and Costume (portfolio),880,
LC115,Art and Design Teacher Education (portfolio),942,
LC220,Digital Marketing,262,
LC221,Accounting and Finance,241,
LC222,Marketing and Management,270,
LC223,Law and Taxation,307,
LC224,Accounting and Finance,300,
LC225,Marketing and Management,298,
LC226,Enterprise and Innovation,234,234
LC228,Sports Development and Coaching,205,
LC230,Business with Computing,217,
LC233,Software Development,272,
LC234,Interactive Digital Media,225,
LC235,Internet Systems Development,205,
LC236,Internet Systems Development,262,260
LC239,Computer Networks and Systems Management,307,
LC241,Construction Management,255,
LC242,Property Valuation and Management,282,
LC243,Quantity Surveying,294,
LC248,Built Environment (Common Entry),288,
LC251,Civil Engineering,206,
LC252,Civil Engineering Management,270,
LC257,Interior Design,264,
LC260,Applied Biology,326,
LC263,Clinical Technology,294,
LC265,Forensic and Pharmaceutical Sciences,413,
LC266,Drug and Medicinal Product Analysis,262,
LC267,Forensic and Pharmaceutical Sciences,329,
LC268,Medical Technology,289,
LC270,Music Technology and Production,307,
LC271,Electrical Engineering,261,
LC275,Electrical Engineering,298,
LC276,Creative Broadcast and Film Production,297,
LC277,Industrial Automation and Robotic Systems,232,
LC278,Renewable and Electrical Energy Engineering,280,
LC279,Electronic Engineering,214,
